Clau,Accidents,Mat,Tar,Nit,Mat_P,Tar_p,Nit_p
1720214,18,6.0,6.0,6.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
1720221,16,6.0,7.0,3.0,0.375,0.4375,0.1875
1720222,9,4.0,4.0,1.0,0.4444444444444444,0.4444444444444444,0.1111111111111111
1720223,14,5.0,6.0,3.0,0.35714285714285715,0.42857142857142855,0.21428571428571427
1720224,13,5.0,5.0,3.0,0.38461538461538464,0.38461538461538464,0.23076923076923078
1820161,75,34.0,30.0,11.0,0.4533333333333333,0.4,0.14666666666666667
1820162,71,38.0,32.0,1.0,0.5352112676056338,0.4507042253521127,0.014084507042253521
1820163,56,27.0,22.0,7.0,0.48214285714285715,0.39285714285714285,0.125
1820164,83,34.0,40.0,9.0,0.40963855421686746,0.4819277108433735,0.10843373493975904
1820171,72,34.0,32.0,6.0,0.4722222222222222,0.4444444444444444,0.08333333333333333
1820172,44,23.0,17.0,4.0,0.5227272727272727,0.38636363636363635,0.09090909090909091
1820173,41,12.0,21.0,8.0,0.2926829268292683,0.5121951219512195,0.1951219512195122
1820174,52,19.0,30.0,3.0,0.36538461538461536,0.5769230769230769,0.057692307692307696
1820181,36,13.0,19.0,4.0,0.3611111111111111,0.5277777777777778,0.1111111111111111
1820182,48,24.0,17.0,7.0,0.5,0.3541666666666667,0.14583333333333334
1820183,44,19.0,19.0,6.0,0.4318181818181818,0.4318181818181818,0.13636363636363635
1820184,43,14.0,21.0,8.0,0.32558139534883723,0.4883720930232558,0.18604651162790697
1820191,47,17.0,23.0,7.0,0.3617021276595745,0.48936170212765956,0.14893617021276595
1820192,46,26.0,17.0,3.0,0.5652173913043478,0.3695652173913043,0.06521739130434782
1820193,52,23.0,21.0,8.0,0.4423076923076923,0.40384615384615385,0.15384615384615385
1820194,43,13.0,25.0,5.0,0.3023255813953488,0.5813953488372093,0.11627906976744186
1820201,39,19.0,13.0,7.0,0.48717948717948717,0.3333333333333333,0.1794871794871795
1820202,15,2.0,10.0,3.0,0.13333333333333333,0.6666666666666666,0.2
1820203,24,9.0,9.0,6.0,0.375,0.375,0.25
1820204,47,21.0,20.0,6.0,0.44680851063829785,0.425531914893617,0.1276595744680851
1820211,29,8.0,19.0,2.0,0.27586206896551724,0.6551724137931034,0.06896551724137931
1820212,36,10.0,21.0,5.0,0.2777777777777778,0.5833333333333334,0.1388888888888889
1820213,39,11.0,21.0,7.0,0.28205128205128205,0.5384615384615384,0.1794871794871795
1820214,47,16.0,26.0,5.0,0.3404255319148936,0.5531914893617021,0.10638297872340426
1820221,44,17.0,21.0,6.0,0.38636363636363635,0.4772727272727273,0.13636363636363635
1820222,37,16.0,18.0,3.0,0.43243243243243246,0.4864864864864865,0.08108108108108109
1820223,34,13.0,15.0,6.0,0.38235294117647056,0.4411764705882353,0.17647058823529413
1820224,41,18.0,13.0,10.0,0.43902439024390244,0.3170731707317073,0.24390243902439024
1920161,83,33.0,39.0,11.0,0.39759036144578314,0.46987951807228917,0.13253012048192772
1920162,100,41.0,50.0,9.0,0.41,0.5,0.09
1920163,92,39.0,47.0,6.0,0.42391304347826086,0.5108695652173914,0.06521739130434782
1920164,108,46.0,53.0,9.0,0.42592592592592593,0.49074074074074076,0.08333333333333333
1920171,106,48.0,50.0,8.0,0.4528301886792453,0.4716981132075472,0.07547169811320754
1920172,84,32.0,50.0,2.0,0.38095238095238093,0.5952380952380952,0.023809523809523808
1920173,66,22.0,36.0,8.0,0.3333333333333333,0.5454545454545454,0.12121212121212122
1920174,105,36.0,59.0,10.0,0.34285714285714286,0.5619047619047619,0.09523809523809523
1920181,85,30.0,44.0,11.0,0.35294117647058826,0.5176470588235295,0.12941176470588237
1920182,71,31.0,33.0,7.0,0.43661971830985913,0.4647887323943662,0.09859154929577464
1920183,75,32.0,38.0,5.0,0.4266666666666667,0.5066666666666667,0.06666666666666667
1920184,85,29.0,53.0,3.0,0.3411764705882353,0.6235294117647059,0.03529411764705882
1920191,84,29.0,48.0,7.0,0.34523809523809523,0.5714285714285714,0.08333333333333333
1920192,78,31.0,43.0,4.0,0.3974358974358974,0.5512820512820513,0.05128205128205128
1920193,66,25.0,33.0,8.0,0.3787878787878788,0.5,0.12121212121212122
1920194,83,31.0,46.0,6.0,0.37349397590361444,0.5542168674698795,0.07228915662650602
1920201,73,31.0,33.0,9.0,0.4246575342465753,0.4520547945205479,0.1232876712328767
1920202,44,20.0,22.0,2.0,0.45454545454545453,0.5,0.045454545454545456
1920203,65,30.0,31.0,4.0,0.46153846153846156,0.47692307692307695,0.06153846153846154
1920204,67,27.0,36.0,4.0,0.40298507462686567,0.5373134328358209,0.05970149253731343
1920211,52,17.0,33.0,2.0,0.3269230769230769,0.6346153846153846,0.038461538461538464
1920212,63,29.0,30.0,4.0,0.4603174603174603,0.47619047619047616,0.06349206349206349
1920213,64,30.0,30.0,4.0,0.46875,0.46875,0.0625
1920214,78,36.0,35.0,7.0,0.46153846153846156,0.44871794871794873,0.08974358974358974
1920221,74,26.0,45.0,3.0,0.35135135135135137,0.6081081081081081,0.04054054054054054
1920222,70,25.0,37.0,8.0,0.35714285714285715,0.5285714285714286,0.11428571428571428
1920223,58,19.0,34.0,5.0,0.3275862068965517,0.5862068965517241,0.08620689655172414
1920224,82,27.0,36.0,19.0,0.32926829268292684,0.43902439024390244,0.23170731707317074
2020161,40,12.0,23.0,5.0,0.3,0.575,0.125
2020162,50,20.0,23.0,7.0,0.4,0.46,0.14
2020163,44,20.0,18.0,6.0,0.45454545454545453,0.4090909090909091,0.13636363636363635
2020164,59,23.0,29.0,7.0,0.3898305084745763,0.4915254237288136,0.11864406779661017
2020171,41,18.0,17.0,6.0,0.43902439024390244,0.4146341463414634,0.14634146341463414
2020172,62,23.0,35.0,4.0,0.3709677419354839,0.5645161290322581,0.06451612903225806
2020173,55,22.0,29.0,4.0,0.4,0.5272727272727272,0.07272727272727272
2020174,43,15.0,25.0,3.0,0.3488372093023256,0.5813953488372093,0.06976744186046512
2020181,48,23.0,23.0,2.0,0.4791666666666667,0.4791666666666667,0.041666666666666664
