"Codi_Districte","Nom_Districte","Rang_soroll","TOTAL_D","TOTAL_E","TOTAL_N","TOTAL_DEN","TRANSIT_D","TRANSIT_E","TRANSIT_N","TRANSIT_DEN","GI_TR_D","GI_TR_E","GI_TR_N","GI_TR_DEN","FFCC_D","FFCC_E","FFCC_N","FFCC_DEN","INDUST_D","INDUST_E","INDUST_N","INDUST_DEN","VIANANTS_D","VIANANTS_E","OCI_N","PATIS_D","PATIS_E","PARCS_D"
"3","Sants-Montjuïc","50-55 dB","10.82%","9.32%","16.87%","10.70%","7.70%","9.24%","17.43%","7.88%","3.49%","3.05%","2.33%","4.49%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","1.36%","0.37%","0.53%","3.25%","0.00%","0.00%"
"3","Sants-Montjuïc","55-60 dB","15.74%","18.26%","13.70%","12.59%","14.27%","16.99%","13.89%","11.84%","2.46%","2.31%","2.21%","2.81%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.16%","0.58%","0.59%","0.68%","0.68%","0.00%"
"3","Sants-Montjuïc","60-65 dB","18.67%","15.97%","12.24%","19.41%","17.10%","14.40%","10.78%","18.39%","2.08%","2.19%","5.03%","2.20%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","1.44%","1.40%","1.40%","0.00%"
"3","Sants-Montjuïc","65-70 dB","12.13%","10.85%","2.34%","13.97%","12.13%","10.85%","2.27%","13.08%","4.34%","5.00%","1.65%","3.88%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"3","Sants-Montjuïc","70-75 dB","5.26%","2.58%","0.00%","7.80%","5.26%","2.58%","0.00%","7.53%","3.22%","1.76%","0.00%","3.45%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"3","Sants-Montjuïc","75-80 dB","0.00%","0.00%","0.00%","0.89%","0.00%","0.00%","0.00%","0.90%","0.00%","0.00%","0.00%","0.89%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"3","Sants-Montjuïc",">=80 dB","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"4","Les Corts","<40 dB","0.35%","1.49%","25.30%","0.15%","0.36%","1.54%","25.37%","0.16%","48.98%","57.10%","71.72%","39.77%","96.92%","96.98%","98.21%","95.50%","100.00%","100.00%","100.00%","100.00%","96.47%","96.56%","98.50%","96.54%","98.89%","99.82%"
"4","Les Corts","40-45 dB","15.90%","22.69%","8.26%","7.44%","16.95%","23.50%","8.28%","8.14%","20.46%","14.71%","6.86%","23.86%","1.24%","1.26%","0.92%","2.17%","0.00%","0.00%","0.00%","0.00%","0.50%","2.43%","0.43%","0.00%","0.00%","0.18%"
"4","Les Corts","45-50 dB","11.89%","7.98%","10.54%","18.26%","13.43%","8.45%","10.74%","19.70%","7.67%","6.99%","6.67%","10.86%","0.96%","0.91%","0.50%","0.90%","0.00%","0.00%","0.00%","0.00%","2.98%","0.98%","0.29%","0.00%","0.00%","0.00%"
